feature,gain_importance_mean,gain_importance_std,split_importance_mean,split_importance_std,perm_importance_mean,perm_importance_std,gain_importance_norm_mean,split_importance_norm_mean,perm_importance_norm_mean,validation_roc_auc_mean,feature_family,consolidated_score,consolidated_rank,gain_rank,split_rank,perm_rank,is_zero_importance,is_near_zero_importance,importance_bucket
adjqty_log,42.574899673461914,27.009229661326636,1.2,0.8366600265340756,0.00016281318786821598,0.00030765218346473576,0.0006016276342338016,0.0008,0.0011956947342250915,0.687002344113593,Log Features,0.000865774122819631,95,109,72,52,False,True,near_zero
totmou,48.01909999847412,29.83320673704005,2.4,1.3416407864998738,-7.400599448585213e-06,7.867247416327937e-05,0.0006800090571301776,0.0016,0.000148888004359084,0.687002344113593,Original Features,0.0008096323538297539,96,101,66,127,False,True,near_zero
drop_blk_Mean_log,46.64658031463623,37.009343904780785,2.2,1.6431676725154984,3.813642238357229e-05,2.7672522362771147e-05,0.0006603515466609416,0.0014666666666666667,0.0002517083884846386,0.687002344113593,Log Features,0.000792908867270749,97,104,67,88,False,True,near_zero
adults_missing_ind,56.178700065612794,42.01302226956512,1.6,1.140175425099138,7.260588107635969e-05,0.00010272811242720674,0.0007955348740296025,0.0010666666666666667,0.0004976483485712318,0.687002344113593,Missing Indicators,0.0007866166297558337,98,92,70,77,False,True,near_zero
rev_Mean_missing_ind,42.83424053192139,33.17613388507322,2.0,1.7320508075688774,5.287094921357187e-05,8.508940121559216e-05,0.0006084906038624527,0.0013333333333333335,0.0003516095320378773,0.687002344113593,Missing Indicators,0.0007644778230778879,99,108,68,83,False,True,near_zero
mou_opkv_Mean_log,42.45036010742187,55.2371115029349,1.8,2.4899799195977463,-8.70737196379645e-05,0.00036001630615303945,0.0006046033736890335,0.0012000000000000001,0.00044410973433325646,0.687002344113593,Log Features,0.0007495710360074301,100,110,69,161,False,True,near_zero
infobase_missing_ind,50.6450798034668,61.25669580784808,1.4,1.6733200530681511,9.434097495226723e-05,9.101164534715435e-05,0.0007165055855285634,0.0009333333333333332,0.0005755587283653833,0.687002344113593,Missing Indicators,0.0007417992157424267,101,97,71,65,False,True,near_zero
ccrndmou_Mean,33.48014049530029,26.143510060661605,1.6,1.140175425099138,7.33392738144915e-05,0.0001815010034824846,0.0004737619921320015,0.0010666666666666667,0.0006842706039184288,0.687002344113593,Original Features,0.0007415664209056991,102,116,70,76,False,True,near_zero
threeway_Mean,43.71180038452148,24.99420465688057,2.4,1.140175425099138,-9.154074813394104e-05,2.7741709542202676e-05,0.0006187202051709011,0.0016,0.0,0.687002344113593,Original Features,0.0007395734017236337,103,107,66,162,False,True,near_zero
complete_Mean,37.84552001953125,38.076308232104665,1.8,1.9235384061671346,6.433854475545637e-05,0.00013128515561648799,0.0005361862231034311,0.0012000000000000001,0.00047426350443554693,0.687002344113593,Original Features,0.0007368165758463262,104,113,69,79,False,True,near_zero
avg3mou_log,34.41549987792969,28.38761364045211,1.4,1.140175425099138,6.120495760154979e-05,0.00027458751413578003,0.000487622893407589,0.0009333333333333334,0.0007759462560518438,0.687002344113593,Log Features,0.0007323008275975888,105,114,71,80,False,True,near_zero
avg3rev_log,52.376380157470706,65.90571685743909,1.6,1.6733200530681511,4.240343467821391e-05,9.970829369016904e-05,0.0007389102062579576,0.0010666666666666667,0.000353907045783595,0.687002344113593,Log Features,0.0007198279729027397,106,96,70,86,False,True,near_zero
income_missing_ind,53.50199890136719,49.29651678319726,1.4,1.140175425099138,5.953815592392905e-05,0.00011892547622163559,0.0007569418199411959,0.0009333333333333332,0.00045231658434106216,0.687002344113593,Missing Indicators,0.0007141972458718637,107,95,71,81,False,True,near_zero
