trial_number,value,train_roc_auc_mean,validation_roc_auc_mean,roc_auc_gap_mean,accuracy_mean_validation,precision_mean_validation,recall_mean_validation,f1_mean_validation,fold_1_train_roc_auc,fold_1_validation_roc_auc,fold_2_train_roc_auc,fold_2_validation_roc_auc,fold_3_train_roc_auc,fold_3_validation_roc_auc,fold_4_train_roc_auc,fold_4_validation_roc_auc,fold_5_train_roc_auc,fold_5_validation_roc_auc,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,min_split_gain
97,0.6922292533051247,0.7685064286885511,0.6922292533051247,0.0762771753834263,0.63691,0.630109692249084,0.647512267135703,0.6386865693288067,0.7686514847697344,0.6897034036506224,0.768896071728083,0.6958058855474771,0.7688095210414547,0.689227533780216,0.7683111713240546,0.6938931850882533,0.7678638945794287,0.6925162584590551,0.0871188128259625,98,12,9,0.7547393201327255,0.7019978293269077,0,0.0025747399220256,0.7197875406844644,0.4010234590476343
21,0.6921683268077559,0.7425706536048587,0.6921683268077559,0.0504023267971028,0.6370099999999999,0.6307674070614218,0.6453936495289486,0.6379879965680615,0.7429014948169145,0.6881770581215292,0.7425671740740082,0.6967014333314889,0.7427844388085963,0.6890258981655539,0.7424637430053238,0.6931051440623561,0.742136417319451,0.6938321003578518,0.0800173197647567,77,12,40,0.7606486303064655,0.7299801087497847,2,2.495683560340605e-06,6.9970664363096695,0.3863873027758984
18,0.6921116311057488,0.7483902743293352,0.6921116311057488,0.0562786432235864,0.6368199999999999,0.6304154987225331,0.6458375050184385,0.6380242841016539,0.7490915064516789,0.6893827593810575,0.7474729096312123,0.6963857094343471,0.7489122248422144,0.6898007981738106,0.7482296369565794,0.6929244750713495,0.7482450937649914,0.6920644134681789,0.0802986980292636,86,12,44,0.7595776481880205,0.7211422591005001,2,1.493656852319989e-06,5.528331119566466,0.3853624573638168
69,0.6921057159636911,0.7545662661894991,0.6921057159636911,0.0624605502258079,0.63625,0.6306102912093429,0.642346935286142,0.636417101526386,0.755566725360082,0.6899885552337457,0.7539595959851157,0.6948770252420405,0.7550283896735843,0.6892104224551149,0.7548438296057042,0.6925089578936993,0.7534327903230091,0.693943618993855,0.0859700702590641,93,12,95,0.6794328885216578,0.6570616848314192,6,0.0010039646226624,1.690247276209255,0.404032450461942
79,0.692065098201974,0.785645599305329,0.692065098201974,0.0935805011033549,0.6352,0.6293157909323132,0.6422058287244303,0.6356776881091373,0.7860701266410453,0.6896443091777615,0.785275175429305,0.6969820645724676,0.7867319454145709,0.687867938493157,0.7860239562091473,0.6939488093957997,0.7841267928325762,0.6918823693706839,0.1079052808947766,118,12,24,0.6524859010822329,0.6512716604231239,1,0.0522983329479736,1.2183216528184182,0.3893475426835365
67,0.6920422784009681,0.769511956616169,0.6920422784009681,0.0774696782152009,0.6370000000000001,0.6314220786524436,0.6428513275342127,0.637077464456889,0.7688123109034473,0.6906950187059658,0.7687852981984522,0.6960280423625265,0.7700736862666048,0.6880165900047299,0.7703838031349275,0.6932215030731981,0.769504684577413,0.6922502378584199,0.1138895499289613,100,12,29,0.6938112583054952,0.6160213070684923,1,0.002254862242952,7.761603362713742,0.3373532149180104
94,0.6918861751712534,0.7898179001450604,0.6918861751712534,0.0979317249738069,0.63684,0.6310638925170353,0.6433760601820178,0.6371421839534864,0.7902744506891246,0.6887240295217945,0.7891786810016738,0.6955449757992183,0.7895099099774826,0.6877239673440311,0.791028067461415,0.6950373936957678,0.7890983915956065,0.6924005094954553,0.1084447792733893,125,12,27,0.7041468169898002,0.6363146618397706,1,0.0001193816664718,1.6324747621451174,0.4441029432290507
68,0.6918573063884025,0.7791432663997616,0.6918573063884025,0.0872859600113591,0.63691,0.6320427559070307,0.639966159990627,0.6359765399868,0.7795745714792381,0.6901507075070511,0.7781250329888683,0.6956818761612066,0.7798995523094737,0.6886286874055527,0.7795223521800888,0.6943881434178263,0.7785948230411391,0.6904371174503754,0.1206614610482831,110,12,32,0.6660326769782414,0.6124658151722254,8,0.0065766897051705,4.1936511796830755,0.3714979807140692
88,0.6917534351269456,0.7991555065647875,0.6917534351269456,0.1074020714378418,0.63648,0.6321561691874548,0.6374238156057783,0.6347708589830985,0.7990304320926651,0.6892212171539264,0.7997863002949892,0.6943761273290775,0.798806147970704,0.6902538332568473,0.7986104579881897,0.6940037036468104,0.7995441944773898,0.6909122942480665,0.1516357669390452,126,12,38,0.7646616260409204,0.6622463597925873,1,0.0157023812154215,9.789888926583856,0.4779848684300218
16,0.6916265115060117,0.7328366187205235,0.6916265115060117,0.0412101072145117,0.6369,0.6298236124352286,0.6485815761776366,0.6390518901853425,0.7329051944705399,0.687556531153843,0.7326229392992154,0.695446438340918,0.7330387242148226,0.688764777944404,0.733183649373155,0.6938414710835208,0.7324325862448844,0.6925233390073726,0.0960423502717187,46,12,48,0.8966593486609572,0.6662412783989669,0,0.0148869151658882,8.411985243210281e-05,0.0872704874262598
64,0.6916115198829941,0.7751007479203517,0.6916115198829941,0.0834892280373575,0.63685,0.6315099744451913,0.6417215590813605,0.6365432423248409,0.7742583377509182,0.6894830469718253,0.7751777710478568,0.6948401124481112,0.7749314094360349,0.6892125026162026,0.7759735248479962,0.6929238200206225,0.7751626965189522,0.6915981173582082,0.1345630857878137,88,12,19,0.7428186270097932,0.6071699415015243,1,0.0385852323818327,2.632244303939532,0.4801946396665318
89,0.6915783215850684,0.7642840494340285,0.6915783215850684,0.0727057278489601,0.63567,0.6290749658216254,0.6454946309730816,0.6371701056937471,0.76494899905102,0.6879150782922759,0.7628569198346129,0.6956282221001309,0.7640562358680587,0.6901567757407134,0.7634544263545178,0.6909600179437896,0.7661036660619328,0.6932315138484324,0.1282527662128753,115,7,31,0.7856967068376457,0.6223964725565303,0,0.0662924306825479,4.927542156953339,0.4183124240793254
91,0.6915448820741589,0.8134461871167252,0.6915448820741589,0.1219013050425663,0.6365299999999999,0.631096553668747,0.641802202161224,0.6363933532364705,0.8126139152168553,0.6900924330962611,0.8138399974384527,0.6960833065454725,0.8130313177102622,0.6901963588060258,0.8143986033305675,0.6913290465213626,0.8133471018874883,0.6900232654016727,0.1375334729762021,123,12,28,0.7363013147145371,0.6271830066738677,0,0.000724253590864,0.8840271469575186,0.4374746953544585
12,0.6912996640475099,0.7765179976602393,0.6912996640475099,0.0852183336127294,0.63635,0.6310564698324057,0.6410556038503503,0.6360035014006021,0.7772464862777224,0.6878580139730777,0.7755471626162385,0.6955661974054816,0.7766763317816521,0.6898049584959859,0.777213487907668,0.6905990299888823,0.7759065197179159,0.6926701203741217,0.1850807628008973,64,-1,78,0.8158480427211191,0.8050462804953816,5,0.0001503292051672,3.148832160133425e-07,0.0035466254636398
38,0.6912756857252369,0.7830850059144769,0.6912756857252369,0.09180932018924,0.6375200000000001,0.6322360018910819,0.6421854923956256,0.637166897440751,0.782911665625073,0.6896445191936578,0.7823518053279801,0.6951093828291863,0.7844656481511867,0.6881560508045743,0.7826285543736942,0.6923661668359596,0.7830673560944509,0.6911023089628061,0.12544610427879,110,10,59,0.7284722744031822,0.6288614518878815,2,0.9323080355368772,0.002658829891722,0.1250819224411641
98,0.6912285878172997,0.761233227019029,0.6912285878172997,0.0700046392017292,0.6350199999999999,0.6290727332377244,0.6423065068843083,0.635615756076486,0.7620048817271461,0.6880415578655149,0.7612485884920943,0.6974571305302099,0.7599638834848294,0.6881346191449066,0.7618793257608786,0.6923312241299967,0.7610694556301967,0.6901784074158702,0.1225550984881133,79,8,30,0.7305627844836254,0.6095264748446996,1,0.0139391087135831,1.1199947297845696,0.4792278418638365
28,0.6910423616626454,0.7820384883182537,0.6910423616626454,0.0909961266556083,0.63537,0.6301770596855857,0.6397240434882754,0.6349048130196161,0.7832835392595752,0.6896473994116614,0.7822969679804701,0.6950892913084591,0.7823539295977349,0.6882153053932497,0.7805246364174756,0.6930291581780093,0.7817333683360133,0.6892306540218475,0.1916280738051632,67,12,64,0.7078571406779994,0.8754006721464518,3,0.0009321524983923,1.884801822078413e-05,0.326994032510024
